ANO_LETIVO,NM_DIRETORIA,NM_MUNICIPIO,CD_REDE_ENSINO,APR_1,REP_1,ABA_1,APR_2,REP_2,ABA_2,APR_3,REP_3,ABA_3,MESORREGIAO
2013,ARACATUBA,ARACATUBA,1.0,0.0,0.0,0.0,92.79,5.54,1.67,81.4,13.44,5.17,ARACATUBA
2013,ARACATUBA,VALPARAISO,1.0,100.0,0.0,0.0,97.53,2.47,0.0,85.38,2.46,12.16,ARACATUBA
2013,ARACATUBA,GUARARAPES,1.0,0.0,0.0,0.0,96.06,2.78,1.16,89.63,8.58,1.78,ARACATUBA
2013,ARACATUBA,RUBIACEA,1.0,99.42,0.58,0.0,0.0,0.0,0.0,87.5,10.94,1.56,ARACATUBA
2013,ARACATUBA,BENTO DE ABREU,1.0,0.0,0.0,0.0,96.6,0.68,2.72,87.85,1.87,10.28,ARACATUBA
2013,ARACATUBA,SANTO ANTONIO DO ARACANGUA,1.0,93.71,6.29,0.0,92.42,7.14,0.43,87.31,3.72,8.98,ARACATUBA
2013,ARARAQUARA,ARARAQUARA,1.0,99.83,0.11,0.06,93.67,5.0,1.33,81.89,12.02,6.08,ARARAQUARA
2013,ARARAQUARA,MATAO,1.0,97.42,2.58,0.0,98.9,0.74,0.37,90.29,6.93,2.78,ARARAQUARA
2013,ARARAQUARA,SANTA LUCIA,1.0,0.0,0.0,0.0,94.95,1.62,3.42,77.9,7.46,14.64,ARARAQUARA
2013,ARARAQUARA,GAVIAO PEIXOTO,1.0,0.0,0.0,0.0,92.7,1.9,5.4,88.41,1.45,10.14,ARARAQUARA
2013,ARARAQUARA,AMERICO BRASILIENSE,1.0,0.0,0.0,0.0,94.68,4.18,1.15,81.71,13.56,4.72,ARARAQUARA
2013,ARARAQUARA,RINCAO,1.0,100.0,0.0,0.0,93.02,6.98,0.0,91.17,8.83,0.0,ARARAQUARA
